id,timestamp,latitude,longitude,pm25,no2,so2,o3,co
4651,2024-08-01 22:00,40.85355,-73.96618,18.5,33.7,,,0.5
6859,2024-08-01 22:00,40.770908,-74.036218,16.5,,,,
9066,2024-08-01 22:00,40.816,-73.902,18.2,35.8,,0.024,
11244,2024-08-01 22:00,40.81551,-73.88553,19.1,,,,
13452,2024-08-01 22:00,40.64182,-74.01871,16.1,,,,
15660,2024-08-01 22:00,40.69454,-73.92769,17.2,,,,
17867,2024-08-01 22:00,40.73614,-73.82153,22.9,6.5,-0.2,0.058,0.334
20043,2024-08-01 22:00,40.739264,-73.817694,15.4,8.4,,,0.35
232,2024-08-01 23:00,40.725413,-74.052293,19.7,,,,
2463,2024-08-01 23:00,40.64144,-74.208365,17.3,23.5,0.8,,0.5
4652,2024-08-01 23:00,40.85355,-73.96618,18.0,33.6,,,0.5
6860,2024-08-01 23:00,40.770908,-74.036218,17.9,,,,
9067,2024-08-01 23:00,40.816,-73.902,19.9,29.8,,0.031,
11245,2024-08-01 23:00,40.81551,-73.88553,18.5,,,,
13453,2024-08-01 23:00,40.64182,-74.01871,16.5,,,,
15661,2024-08-01 23:00,40.69454,-73.92769,17.1,,,,
17868,2024-08-01 23:00,40.73614,-73.82153,21.0,6.4,-0.4,0.057,0.325
20044,2024-08-01 23:00,40.739264,-73.817694,14.4,7.7,,,0.308
233,2024-08-02 00:00,40.725413,-74.052293,17.0,,,,
2464,2024-08-02 00:00,40.64144,-74.208365,17.7,25.0,0.0,,0.5
4653,2024-08-02 00:00,40.85355,-73.96618,20.9,26.2,,,0.5
6861,2024-08-02 00:00,40.770908,-74.036218,16.2,,,,
9068,2024-08-02 00:00,40.816,-73.902,16.1,22.7,,0.037,
11246,2024-08-02 00:00,40.81551,-73.88553,17.6,,,,
13454,2024-08-02 00:00,40.64182,-74.01871,17.0,,,,
15662,2024-08-02 00:00,40.69454,-73.92769,17.9,,,,
17869,2024-08-02 00:00,40.73614,-73.82153,22.4,11.3,-0.1,,0.36
20045,2024-08-02 00:00,40.739264,-73.817694,15.1,12.0,,,0.373
234,2024-08-02 01:00,40.725413,-74.052293,20.6,,,,
2465,2024-08-02 01:00,40.64144,-74.208365,17.2,30.2,0.0,,0.5
4654,2024-08-02 01:00,40.85355,-73.96618,17.2,27.7,,,0.4
6862,2024-08-02 01:00,40.770908,-74.036218,18.0,,,,
9069,2024-08-02 01:00,40.816,-73.902,15.6,21.5,,0.034,
11247,2024-08-02 01:00,40.81551,-73.88553,16.9,,,,
13455,2024-08-02 01:00,40.64182,-74.01871,18.7,,,,
15663,2024-08-02 01:00,40.69454,-73.92769,18.8,,,,
17870,2024-08-02 01:00,40.73614,-73.82153,23.0,13.4,-0.1,,0.395
20046,2024-08-02 01:00,40.739264,-73.817694,15.7,14.2,,,0.418
235,2024-08-02 02:00,40.725413,-74.052293,21.0,,,,
2466,2024-08-02 02:00,40.64144,-74.208365,17.5,38.9,0.1,,0.5
4655,2024-08-02 02:00,40.85355,-73.96618,19.4,29.1,,,0.5
6863,2024-08-02 02:00,40.770908,-74.036218,19.4,,,,
9070,2024-08-02 02:00,40.816,-73.902,15.3,19.5,,0.033,
11248,2024-08-02 02:00,40.81551,-73.88553,15.9,,,,
13456,2024-08-02 02:00,40.64182,-74.01871,16.8,,,,
15664,2024-08-02 02:00,40.69454,-73.92769,21.8,,,,
17871,2024-08-02 02:00,40.73614,-73.82153,25.0,13.2,0.1,0.031,0.374
20047,2024-08-02 02:00,40.739264,-73.817694,16.4,15.7,,,0.84
236,2024-08-02 03:00,40.725413,-74.052293,20.5,,,,
2467,2024-08-02 03:00,40.64144,-74.208365,18.1,27.0,0.1,,0.5
4656,2024-08-02 03:00,40.85355,-73.96618,20.0,34.7,,,0.5
6864,2024-08-02 03:00,40.770908,-74.036218,15.6,,,,
9071,2024-08-02 03:00,40.816,-73.902,15.8,22.4,,0.026,
11249,2024-08-02 03:00,40.81551,-73.88553,16.6,,,,
13457,2024-08-02 03:00,40.64182,-74.01871,18.7,,,,
15665,2024-08-02 03:00,40.69454,-73.92769,19.9,,,,
17872,2024-08-02 03:00,40.73614,-73.82153,26.2,28.2,-0.1,0.015,0.391
20048,2024-08-02 03:00,40.739264,-73.817694,17.1,28.3,,,0.967
237,2024-08-02 04:00,40.725413,-74.052293,24.7,,,,
2468,2024-08-02 04:00,40.64144,-74.208365,18.8,42.6,0.0,,
4657,2024-08-02 04:00,40.85355,-73.96618,16.4,32.5,,,0.4
6865,2024-08-02 04:00,40.770908,-74.036218,15.1,,,,
9072,2024-08-02 04:00,40.816,-73.902,17.1,35.3,,0.012,
11250,2024-08-02 04:00,40.81551,-73.88553,20.2,,,,
13458,2024-08-02 04:00,40.64182,-74.01871,19.2,,,,
15666,2024-08-02 04:00,40.69454,-73.92769,19.7,,,,
17873,2024-08-02 04:00,40.73614,-73.82153,25.8,32.5,0.0,0.008,0.386
20049,2024-08-02 04:00,40.739264,-73.817694,17.3,33.8,,,0.401
238,2024-08-02 05:00,40.725413,-74.052293,21.3,,,,
2469,2024-08-02 05:00,40.64144,-74.208365,25.3,46.5,0.8,,0.7
4658,2024-08-02 05:00,40.85355,-73.96618,17.6,42.2,,,0.4
6866,2024-08-02 05:00,40.770908,-74.036218,16.5,,,,
9073,2024-08-02 05:00,40.816,-73.902,19.0,47.9,,0.002,
11251,2024-08-02 05:00,40.81551,-73.88553,21.0,,,,
13459,2024-08-02 05:00,40.64182,-74.01871,20.5,,,,
15667,2024-08-02 05:00,40.69454,-73.92769,21.7,,,,
17874,2024-08-02 05:00,40.73614,-73.82153,26.7,34.9,-0.3,0.005,0.407
20050,2024-08-02 05:00,40.739264,-73.817694,21.4,39.1,,,0.451
239,2024-08-02 06:00,40.725413,-74.052293,25.7,,,,
2470,2024-08-02 06:00,40.64144,-74.208365,28.9,32.1,0.3,,0.6
4659,2024-08-02 06:00,40.85355,-73.96618,17.2,41.6,,,0.5
6867,2024-08-02 06:00,40.770908,-74.036218,20.7,,,,
9074,2024-08-02 06:00,40.816,-73.902,22.1,51.7,,0.003,
11252,2024-08-02 06:00,40.81551,-73.88553,21.4,,,,
13460,2024-08-02 06:00,40.64182,-74.01871,21.0,,,,
15668,2024-08-02 06:00,40.69454,-73.92769,22.7,,,,
17875,2024-08-02 06:00,40.73614,-73.82153,27.5,28.9,-0.1,0.014,0.481
20051,2024-08-02 06:00,40.739264,-73.817694,25.0,36.6,,,0.484
240,2024-08-02 07:00,40.725413,-74.052293,28.2,,,,
2471,2024-08-02 07:00,40.64144,-74.208365,19.3,38.4,0.2,,0.6
4660,2024-08-02 07:00,40.85355,-73.96618,20.0,37.8,,,0.6
6868,2024-08-02 07:00,40.770908,-74.036218,24.7,,,,
9075,2024-08-02 07:00,40.816,-73.902,20.7,48.1,,0.011,
11253,2024-08-02 07:00,40.81551,-73.88553,21.8,,,,
13461,2024-08-02 07:00,40.64182,-74.01871,21.4,,,,
15669,2024-08-02 07:00,40.69454,-73.92769,23.4,,,,
17876,2024-08-02 07:00,40.73614,-73.82153,27.3,21.8,0.2,0.029,0.47
20052,2024-08-02 07:00,40.739264,-73.817694,23.9,26.7,,,0.496
241,2024-08-02 08:00,40.725413,-74.052293,32.0,,,,
2472,2024-08-02 08:00,40.64144,-74.208365,29.0,32.8,0.5,,0.6
4661,2024-08-02 08:00,40.85355,-73.96618,20.9,33.1,,,0.6
6869,2024-08-02 08:00,40.770908,-74.036218,20.6,,,,
9076,2024-08-02 08:00,40.816,-73.902,19.6,39.0,,0.026,
11254,2024-08-02 08:00,40.81551,-73.88553,20.8,,,,
13462,2024-08-02 08:00,40.64182,-74.01871,21.9,,,,
15670,2024-08-02 08:00,40.69454,-73.92769,22.1,,,,
17877,2024-08-02 08:00,40.73614,-73.82153,27.0,19.4,0.1,0.045,0.428
20053,2024-08-02 08:00,40.739264,-73.817694,19.1,24.8,,,0.448
242,2024-08-02 09:00,40.725413,-74.052293,32.0,,,,
2473,2024-08-02 09:00,40.64144,-74.208365,25.2,28.6,0.3,,0.6
4662,2024-08-02 09:00,40.85355,-73.96618,20.8,20.4,,,0.5
6870,2024-08-02 09:00,40.770908,-74.036218,19.5,,,,
9077,2024-08-02 09:00,40.816,-73.902,18.9,27.2,,0.046,
11255,2024-08-02 09:00,40.81551,-73.88553,20.6,,,,
13463,2024-08-02 09:00,40.64182,-74.01871,21.2,,,,
15671,2024-08-02 09:00,40.69454,-73.92769,22.1,,,,
17878,2024-08-02 09:00,40.73614,-73.82153,26.8,11.0,0.1,0.068,0.371
20054,2024-08-02 09:00,40.739264,-73.817694,18.2,22.3,,,0.547
243,2024-08-02 10:00,40.725413,-74.052293,23.4,,,,
2474,2024-08-02 10:00,40.64144,-74.208365,24.5,35.7,0.7,,0.6
4663,2024-08-02 10:00,40.85355,-73.96618,19.6,22.9,,,0.5
6871,2024-08-02 10:00,40.770908,-74.036218,21.2,,,,
9078,2024-08-02 10:00,40.816,-73.902,21.5,27.9,,0.061,
11256,2024-08-02 10:00,40.81551,-73.88553,22.8,,,,
13464,2024-08-02 10:00,40.64182,-74.01871,19.8,,,,
15672,2024-08-02 10:00,40.69454,-73.92769,22.3,,,,
17879,2024-08-02 10:00,40.73614,-73.82153,28.1,9.3,0.3,0.069,
20055,2024-08-02 10:00,40.739264,-73.817694,30.1,12.6,,,0.388
244,2024-08-02 11:00,40.725413,-74.052293,19.8,,,,
2475,2024-08-02 11:00,40.64144,-74.208365,24.2,31.0,0.1,,0.5
4664,2024-08-02 11:00,40.85355,-73.96618,24.0,22.9,,,0.5
6872,2024-08-02 11:00,40.770908,-74.036218,22.3,,,,
9079,2024-08-02 11:00,40.816,-73.902,20.2,16.2,,0.08,
11257,2024-08-02 11:00,40.81551,-73.88553,23.8,,,,
13465,2024-08-02 11:00,40.64182,-74.01871,18.7,,,,
15673,2024-08-02 11:00,40.69454,-73.92769,19.6,,,,
17880,2024-08-02 11:00,40.73614,-73.82153,24.9,8.9,0.7,0.059,
20056,2024-08-02 11:00,40.739264,-73.817694,22.6,10.8,,,0.33
245,2024-08-02 12:00,40.725413,-74.052293,19.8,,,,
2476,2024-08-02 12:00,40.64144,-74.208365,26.3,23.1,0.0,,0.5
4665,2024-08-02 12:00,40.85355,-73.96618,27.9,9.5,,,0.4
6873,2024-08-02 12:00,40.770908,-74.036218,14.8,,,,
9080,2024-08-02 12:00,40.816,-73.902,17.2,9.4,,0.059,
11258,2024-08-02 12:00,40.81551,-73.88553,19.4,,,,
13466,2024-08-02 12:00,40.64182,-74.01871,17.8,,,,
15674,2024-08-02 12:00,40.69454,-73.92769,18.6,,,,
17881,2024-08-02 12:00,40.73614,-73.82153,,7.0,0.1,0.053,
20057,2024-08-02 12:00,40.739264,-73.817694,14.6,8.4,,,0.288
246,2024-08-02 13:00,40.725413,-74.052293,21.1,,,,
2477,2024-08-02 13:00,40.64144,-74.208365,20.7,22.6,0.0,,0.6
4666,2024-08-02 13:00,40.85355,-73.96618,21.2,6.8,,,0.4
6874,2024-08-02 13:00,40.770908,-74.036218,19.1,,,,
9081,2024-08-02 13:00,40.816,-73.902,16.6,7.6,,0.054,
11259,2024-08-02 13:00,40.81551,-73.88553,18.1,,,,
